time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:38:20:019, 
0.0089,-0.01871,-0.01089,-0.01967
0.0122,-0.03575,-0.02314,-0.00901
0.0122,-0.05173,-0.01888,-0.00848
0.0130,-0.05812,-0.00183,-0.00102
0.0144,-0.05280,0.01255,0.01016
0.0155,-0.04907,0.02001,0.02294
0.0175,-0.03203,0.03172,0.02987
0.0202,-0.02830,0.04291,0.03200
0.0287,-0.02510,0.06049,0.03786
0.0311,-0.02563,0.07806,0.03413
0.0311,-0.03629,0.09990,0.03413
0.0323,-0.04108,0.12387,0.03679
0.0339,-0.04215,0.14677,0.03520
0.0353,-0.04055,0.17127,0.03679
0.0374,-0.03948,0.20376,0.03147
0.0399,-0.04641,0.22933,0.03733
0.0484,-0.06185,0.24691,0.03093
0.0501,-0.06718,0.27993,0.01602
0.0501,-0.08902,0.30283,0.00963
0.0514,-0.10127,0.32627,0.00324
0.0547,-0.11139,0.35290,0.00590
0.0559,-0.11938,0.36888,-0.00209
0.0571,-0.12364,0.39338,0.00057
0.0598,-0.12683,0.41895,-0.00102
0.0685,-0.12737,0.43919,-0.01647
0.0698,-0.12950,0.45250,-0.02339
0.0698,-0.13482,0.46529,-0.02180
0.0716,-0.14175,0.47381,-0.02499
0.0725,-0.14068,0.47381,-0.02819
0.0746,-0.13642,0.46795,-0.01754
0.0768,-0.13056,0.44931,-0.00742
0.0796,-0.13110,0.42481,0.00004
0.0880,-0.12470,0.38699,0.00270
0.0898,-0.12257,0.36888,0.00697
0.0898,-0.11299,0.33746,0.01655
0.0915,-0.10446,0.30070,0.02827
0.0927,-0.09008,0.26289,0.03306
0.0946,-0.08050,0.23732,0.04532
0.0970,-0.07890,0.20110,0.04265
0.0996,-0.07677,0.18992,0.04798
0.1079,-0.07197,0.17767,0.04851
0.1096,-0.07570,0.15583,0.04745
0.1096,-0.06984,0.14464,0.05330
0.1112,-0.07410,0.12600,0.05384
0.1124,-0.07357,0.11695,0.04532
0.1150,-0.07304,0.10842,0.04372
0.1167,-0.07197,0.11002,0.04638
0.1195,-0.07197,0.10469,0.04212
0.1285,-0.06824,0.11002,0.03679
0.1297,-0.06292,0.11481,0.03892
0.1297,-0.06185,0.11481,0.03306
0.1313,-0.06132,0.12014,0.03093
0.1324,-0.06398,0.13505,0.02987
0.1343,-0.06239,0.14145,0.02188
0.1367,-0.05706,0.16222,0.01709
0.1393,-0.06079,0.18193,0.00697
0.1481,-0.06665,0.21016,0.00750
0.1494,-0.07517,0.23466,0.00484
0.1494,-0.07996,0.26715,-0.00156
0.1521,-0.08476,0.29271,-0.00422
0.1534,-0.08635,0.33426,-0.00688
0.1551,-0.08955,0.37154,-0.00475
0.1572,-0.08795,0.40883,-0.00528
0.1608,-0.08369,0.45197,-0.00475
0.1682,-0.07517,0.49458,-0.00209
0.1696,-0.07144,0.53346,0.00856
0.1696,-0.06824,0.58460,0.00643
0.1712,-0.07357,0.62561,0.01496
0.1723,-0.07304,0.66236,0.01815
0.1741,-0.08050,0.70763,0.02241
0.1794,-0.07890,0.74918,0.01868
0.1796,-0.08369,0.79126,0.02241
0.1884,-0.08902,0.83067,0.02561
0.1896,-0.09221,0.87488,0.02454
0.1896,-0.09967,0.89193,0.03306
0.1911,-0.09914,0.95850,0.04052
0.1924,-0.09860,1.02082,0.02987
0.1939,-0.09488,1.05704,0.03147
0.1966,-0.10500,1.10445,0.02401
0.1994,-0.10287,1.15398,0.03093
0.2078,-0.11032,1.20405,0.02987
0.2094,-0.11938,1.24826,0.02827
0.2107,-0.12843,1.30206,0.03466
0.2136,-0.13056,1.33721,0.03359
0.2150,-0.13642,1.40006,0.02773
0.2163,-0.14494,1.44427,0.03199
0.2179,-0.14920,1.49594,0.02773
0.2192,-0.14867,1.54601,0.02240
0.2275,-0.15719,1.58808,0.02667
0.2291,-0.15773,1.63815,0.02454
0.2291,-0.16199,1.68609,0.01761
0.2308,-0.16731,1.73935,0.00856
0.2319,-0.18116,1.78995,-0.00156
0.2334,-0.19608,1.82990,-0.01808
0.2361,-0.20886,1.87997,-0.03246
