time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:38:20:019, 
0.0088,0.26169,0.39355,-0.15008
0.0088,0.34440,0.34855,-0.00724
0.0088,0.37284,0.28882,0.18053
0.0088,0.28203,0.11079,0.41689
0.0274,0.12134,-0.01547,0.74727
0.0274,-0.44177,-0.12766,0.86544
0.0274,-0.86527,0.02772,0.34815
0.0274,-1.04637,-0.02550,-0.08913
0.0474,-1.33243,-0.13349,0.09229
0.0474,-1.01286,-0.39387,0.51845
0.0474,-0.50955,-0.56049,0.49736
0.0474,-0.20383,-0.46128,0.24503
0.0671,-0.00412,-0.39568,0.05112
0.0671,0.22531,-0.35644,0.13418
0.0671,0.57615,-0.33931,-0.00381
0.0671,0.89704,-0.29330,-0.20715
0.0868,0.93406,-0.13627,-0.26643
0.0868,0.98505,-0.06354,-0.11261
0.0868,1.04964,-0.09527,0.13935
0.0868,0.94899,-0.05533,0.14365
0.1068,0.66939,0.01511,0.25849
0.1068,0.30983,0.26562,0.37817
0.1068,0.07446,0.32030,0.39517
0.1068,-0.37839,0.25379,0.42575
0.1271,-0.78740,0.31069,0.50993
0.1271,-0.88846,0.22515,0.44111
0.1271,-0.95204,0.17364,0.30004
0.1271,-1.02422,0.14947,0.30510
0.1468,-0.89949,0.04713,0.44086
0.1468,-0.74760,-0.05375,0.49925
0.1468,-0.55887,-0.19819,0.56745
0.1468,-0.30445,-0.21714,0.64000
0.1668,0.02868,-0.29811,0.49500
0.1668,0.29260,-0.25557,0.36431
0.1668,0.47498,-0.13890,0.18914
0.1668,0.65545,-0.10707,0.04222
0.1874,0.71210,-0.20250,-0.02568
0.1874,0.62027,-0.41701,0.06625
0.1874,0.52542,-0.59425,0.13409
0.1874,0.58726,-0.58095,0.08027
0.2065,0.72818,-0.52845,-0.16963
0.2065,0.77438,-0.53615,-0.31827
0.2065,0.76551,-0.61999,-0.35753
0.2065,0.72751,-0.71860,-0.33714
0.2263,0.68621,-0.68723,-0.45299
0.2263,0.80978,-0.87178,-0.41847
0.2263,0.72417,-0.83319,-0.47778
0.2263,0.75785,-0.76695,-0.64322
0.2460,1.15674,-0.69574,-0.43283
0.2460,0.94413,-0.80220,-0.45622
0.2460,1.09898,-0.70103,-0.17437
0.2460,1.36722,-0.76683,-0.41787
0.2664,1.35779,-0.70467,-0.48865
0.2664,1.54816,-0.57175,-0.61631
0.2665,1.78740,-0.37325,-0.65594
0.2665,1.86228,-0.17251,-0.69142
0.2865,1.96968,-0.34562,-0.67229
0.2865,1.65294,-0.30862,-0.49238
0.2865,1.30346,-0.33347,-0.43648
0.2865,0.95544,-0.09959,-0.31818
0.3058,0.60689,0.06383,-0.14841
0.3058,0.47854,0.17496,-0.14088
0.3058,0.22770,0.09522,-0.30635
0.3059,-0.01012,0.05922,-0.35222
0.3261,-0.18059,-0.03388,-0.28659
0.3261,-0.26417,-0.16506,-0.21585
0.3261,-0.24368,-0.29679,-0.14109
0.3261,-0.17733,-0.49157,0.10693
0.3458,-0.20373,-0.66482,0.39287
0.3458,-0.29478,-0.74388,0.48821
0.3458,-0.20116,-0.76891,0.51615
0.3458,-0.30964,-0.81150,0.66461
0.3659,-0.24234,-0.92364,0.52682
0.3660,-0.16083,-0.96231,0.41565
0.3660,-0.03383,-0.99839,0.40886
0.3660,-0.19866,-1.11088,0.19478
0.3861,-0.26353,-1.01358,0.18493
0.3861,-0.31415,-0.82779,0.15389
0.3861,-0.18797,-0.73443,0.05540
0.3861,-0.16420,-0.52762,-0.11366
0.4056,-0.34664,-0.28841,-0.24841
0.4056,-0.62222,0.24701,-0.07016
0.4056,-0.92470,0.60877,0.15560
0.4056,-1.28779,0.76791,0.23577
0.4254,-1.56425,0.80035,0.23675
0.4254,-1.61685,0.75297,0.30761
0.4254,-1.49750,0.54250,0.35206
0.4254,-1.18396,0.13242,0.36800
0.4452,-0.73864,-0.33083,0.45556
0.4452,-0.16414,-0.77594,0.53644
0.4452,0.09964,-1.13605,0.50124
0.4452,0.38464,-1.36763,0.47257
0.4656,0.50983,-1.38927,0.18183
0.4656,0.59866,-1.28658,0.36994
0.4656,0.55870,-1.34144,0.26163
0.4656,0.40047,-1.11836,0.24069
0.4854,-0.03378,-0.82961,0.11292
0.4854,-0.21689,-0.68401,0.11154
0.4854,-0.55572,-0.37021,0.19694
0.4854,-1.31009,0.27134,0.10485
0.5052,-0.05443,-0.45883,0.30461
0.5052,0.36166,-0.75496,0.65415
