time,X_value,Y_value,Z_value
Started:,Apr 13 2020,11:25:06:910, 
0.0089,-0.25888,0.14146,0.00066
0.0145,-0.26315,0.08234,-0.02118
0.0145,-0.27167,0.02747,-0.04621
0.0145,-0.28019,-0.01408,-0.07710
0.0158,-0.28765,-0.06149,-0.07923
0.0160,-0.28392,-0.08439,-0.06059
0.0172,-0.26368,-0.12221,-0.04088
0.0199,-0.21521,-0.14298,-0.02810
0.0290,-0.15875,-0.16854,-0.02384
0.0320,-0.05755,-0.25323,-0.01957
0.0320,-0.01813,-0.21861,0.01824
0.0336,0.02821,-0.23725,0.04274
0.0349,0.05963,-0.25643,0.04168
0.0372,0.07135,-0.24578,0.03955
0.0387,0.07082,-0.24844,0.03582
0.0401,0.06709,-0.23938,0.04434
0.0487,0.07135,-0.21701,0.05127
0.0504,0.06922,-0.19624,0.05286
0.0504,0.07668,-0.17067,0.05659
0.0517,0.07401,-0.13872,0.05499
0.0544,0.07348,-0.09344,0.04860
0.0559,0.06815,-0.06521,0.03582
0.0577,0.06922,-0.03858,0.02783
0.0596,0.06070,-0.01195,0.02623
0.0695,0.05590,0.00509,0.02890
0.0709,0.05484,0.02533,0.03209
0.0709,0.03726,0.03439,0.03369
0.0724,0.02821,0.04025,0.03422
0.0748,0.00956,0.03865,0.03209
0.0767,-0.00748,0.03758,0.03316
0.0818,-0.01387,0.04557,0.04221
0.0819,-0.02239,0.05942,0.04701
0.0885,-0.02559,0.08126,0.05180
0.0902,-0.01654,0.10629,0.05553
0.0902,-0.01121,0.14411,0.04221
0.0914,-0.00482,0.18299,0.04061
0.0928,-0.00056,0.21655,0.03209
0.0941,0.01755,0.24904,0.02996
0.0968,0.03247,0.28845,0.03316
0.0998,0.03300,0.31136,0.02410
0.1082,0.05058,0.31455,0.01132
0.1096,0.06336,0.31562,0.01718
0.1096,0.06123,0.29698,0.02304
0.1110,0.06549,0.28260,0.01984
0.1123,0.05750,0.25170,0.02250
0.1143,0.04791,0.23200,0.01132
0.1169,0.03939,0.22134,-0.00093
0.1205,0.04365,0.20536,-0.00466
0.1281,0.04472,0.19578,-0.00679
0.1297,0.04418,0.18672,-0.00786
0.1297,0.04738,0.17287,-0.00466
0.1308,0.05644,0.16275,-0.01052
0.1323,0.05217,0.14784,-0.01531
0.1341,0.03566,0.13346,-0.01744
0.1365,0.03300,0.10683,-0.01691
0.1391,0.01169,0.08339,-0.02170
0.1480,-0.01334,0.06528,-0.01585
0.1493,-0.01813,0.05942,-0.02117
0.1493,-0.02186,0.04877,-0.02170
0.1518,-0.01920,0.03652,-0.01957
0.1532,-0.00642,0.02374,-0.01904
0.1545,-0.01654,0.00882,-0.02117
0.1564,-0.00801,-0.00396,-0.00945
0.1592,-0.02346,0.00296,-0.00786
0.1679,-0.02080,0.00509,-0.00253
0.1698,-0.02985,0.00776,0.00546
0.1699,-0.02612,0.01521,0.00386
0.1717,-0.01654,0.01149,-0.00306
0.1733,-0.00908,0.00722,-0.00466
0.1746,-0.00269,-0.00503,-0.00999
0.1769,0.00903,-0.02793,-0.00466
0.1797,0.01968,-0.03965,-0.00732
0.1887,0.02501,-0.05563,-0.00519
0.1887,0.03460,-0.06362,-0.00200
0.1887,0.04099,-0.07746,-0.01318
0.1913,0.03140,-0.08332,-0.00945
0.1928,0.02767,-0.08812,-0.00306
0.1940,0.01489,-0.08865,-0.00519
0.1970,0.01436,-0.08812,-0.00519
0.2009,0.01968,-0.07587,-0.02277
0.2074,0.02022,-0.07001,-0.03129
0.2091,0.02448,-0.05935,-0.03449
0.2091,0.02181,-0.04977,-0.04301
0.2108,0.02022,-0.03059,-0.04567
0.2160,0.02235,-0.02473,-0.05846
0.2160,0.01223,-0.02793,-0.06645
0.2172,0.00690,-0.01834,-0.07816
0.2197,0.00157,-0.02154,-0.07497
0.2280,0.00264,-0.01887,-0.06964
0.2310,-0.00215,-0.01302,-0.06538
0.2312,0.00530,-0.00875,-0.06911
0.2322,0.00690,-0.00290,-0.07497
0.2338,0.01116,0.00403,-0.07710
0.2356,0.02075,0.01308,-0.07816
0.2366,0.03353,0.03599,-0.08029
0.2387,0.04791,0.06635,-0.08882
0.2476,0.05697,0.08659,-0.08296
0.2491,0.06123,0.10257,-0.07763
0.2491,0.06762,0.12174,-0.07603
0.2504,0.05857,0.13026,-0.07177
0.2517,0.05111,0.14944,-0.07177
0.2533,0.05377,0.15423,-0.07444
0.2563,0.05430,0.18299,-0.07497
0.2589,0.05164,0.19737,-0.08669
0.2688,0.05058,0.20696,-0.08722
0.2701,0.05484,0.21389,-0.08882
0.2701,0.05058,0.21335,-0.07763
0.2719,0.05484,0.20803,-0.06751
0.2731,0.06283,0.20270,-0.06378
0.2745,0.05590,0.19791,-0.05153
0.2759,0.02821,0.19258,-0.04354
0.2786,0.01915,0.18832,-0.03236
0.2878,0.00903,0.18086,-0.02011
0.2891,-0.01547,0.16222,-0.00679
0.2891,-0.03145,0.14890,0.00013
0.2911,-0.04210,0.12494,0.00866
0.2911,-0.05435,0.10683,0.00919
0.2935,-0.06501,0.08978,0.00706
0.2959,-0.08205,0.08179,0.01079
0.2990,-0.08738,0.06102,0.01132
0.3072,-0.09537,0.04824,0.01345
0.3085,-0.08631,0.02959,0.01505
0.3085,-0.08311,0.02587,0.02357
0.3102,-0.07193,0.00829,0.02463
0.3119,-0.05222,-0.00077,0.02890
0.3137,-0.03837,-0.00023,0.02890
0.3161,-0.02346,-0.01142,0.02783
0.3183,-0.00908,-0.01461,0.02677
0.3270,0.00637,-0.01515,0.02463
0.3285,0.01809,-0.01302,0.01505
0.3285,0.02075,-0.00290,0.01238
0.3333,0.02181,-0.00556,0.00333
0.3333,0.02501,-0.00609,0.00226
0.3334,0.03193,0.00616,0.00333
0.3357,0.02341,0.00989,-0.01105
0.3382,0.03460,0.02107,-0.01212
0.3469,0.03353,0.03173,-0.02969
0.3483,0.04418,0.05516,-0.04408
0.3483,0.06123,0.06155,-0.05473
0.3501,0.06815,0.07274,-0.06485
0.3516,0.07028,0.07593,-0.07550
0.3561,0.07827,0.08659,-0.07976
0.3573,0.07561,0.08978,-0.09095
0.3592,0.06709,0.08446,-0.11438
0.3669,0.05803,0.09245,-0.12397
0.3699,0.04685,0.10629,-0.12770
0.3699,0.03300,0.12174,-0.13888
0.3709,0.02554,0.14038,-0.13942
0.3709,0.02341,0.15317,-0.13302
0.3735,0.01169,0.17287,-0.13089
0.3759,0.01489,0.18299,-0.12663
0.3781,0.01116,0.19365,-0.11705
0.3859,0.01702,0.20536,-0.10852
0.3880,0.01596,0.22028,-0.09148
0.3880,0.01010,0.23146,-0.06218
0.3900,-0.00056,0.23626,-0.04035
0.3912,-0.00855,0.22614,-0.02650
0.3933,-0.00908,0.22028,-0.01957
0.3951,-0.01494,0.20217,-0.01052
0.3989,-0.01121,0.18139,0.01238
0.4070,-0.00642,0.17607,0.02836
0.4083,0.00211,0.16062,0.04914
0.4083,0.00477,0.15370,0.06671
0.4097,0.00584,0.15263,0.07310
0.4110,0.01010,0.15476,0.07470
0.4126,0.00637,0.16329,0.09068
0.4152,0.00104,0.17234,0.09334
0.4177,-0.00162,0.17713,0.09121
0.4271,-0.00855,0.19045,0.09228
0.4283,-0.00908,0.19151,0.08962
0.4284,-0.02080,0.18512,0.08322
0.4302,-0.02346,0.18672,0.07790
0.4329,-0.02506,0.19151,0.06991
0.4342,-0.03038,0.20110,0.05926
0.4356,-0.04317,0.20643,0.06139
0.4380,-0.03411,0.20590,0.04274
0.4471,-0.04210,0.20803,0.03049
0.4486,-0.04477,0.21122,0.01505
0.4486,-0.04956,0.21921,-0.00093
0.4500,-0.05435,0.21548,-0.01425
0.4526,-0.05968,0.21442,-0.01691
0.4529,-0.05648,0.20749,-0.03502
0.4561,-0.05808,0.19950,-0.04301
0.4581,-0.05435,0.19471,-0.03768
0.4689,-0.06181,0.19524,-0.03609
0.4689,-0.05542,0.19205,-0.03555
0.4689,-0.05915,0.20163,-0.04248
0.4706,-0.05648,0.21548,-0.04088
0.4707,-0.04583,0.23040,-0.04141
0.4728,-0.03624,0.25117,-0.05047
0.4751,-0.03464,0.27567,-0.05260
0.4780,-0.03038,0.30497,-0.06165
0.4864,-0.01973,0.33799,-0.06645
0.4881,-0.01174,0.38113,-0.07390
0.4881,-0.00322,0.42268,-0.08242
0.4891,0.01010,0.48073,-0.09414
0.4906,0.00690,0.53400,-0.10000
0.4929,0.01542,0.59099,-0.12077
0.4951,0.00584,0.65118,-0.13196
0.4972,-0.00269,0.70870,-0.15167
0.5062,0.00477,0.74013,-0.15060
0.5079,0.00211,0.78380,-0.15699
0.5079,-0.00908,0.81683,-0.15220
0.5097,-0.01867,0.85145,-0.15273
0.5106,-0.02133,0.87808,-0.15966
0.5141,-0.01813,0.91484,-0.16073
0.5195,-0.02027,0.94467,-0.16925
0.5196,-0.01441,0.97876,-0.16819
0.5268,-0.00642,0.99793,-0.17618
0.5281,-0.00269,1.03841,-0.17351
0.5283,0.00370,1.06504,-0.17298
0.5297,0.01223,1.10020,-0.17884
0.5316,0.00850,1.13375,-0.18363
0.5327,0.00637,1.17050,-0.18310
0.5345,0.00157,1.20246,-0.19801
0.5371,-0.00908,1.23975,-0.19695
0.5463,-0.01441,1.28875,-0.20760
0.5473,-0.01600,1.33882,-0.21452
0.5473,-0.03624,1.38302,-0.21719
0.5489,-0.04051,1.43043,-0.22784
0.5503,-0.04157,1.49541,-0.24116
0.5523,-0.05276,1.54761,-0.24861
0.5546,-0.05435,1.59767,-0.26726
0.5581,-0.06660,1.64668,-0.28430
0.5661,-0.07140,1.70527,-0.30188
0.5675,-0.08045,1.76279,-0.30134
0.5675,-0.09164,1.81765,-0.32158
0.5694,-0.11135,1.87411,-0.31839
0.5713,-0.12200,1.93270,-0.31573
0.5728,-0.13958,1.98117,-0.31359
0.5752,-0.14330,2.02325,-0.30241
0.5786,-0.15289,2.06320,-0.29602
0.5865,-0.15662,2.08663,-0.28803
0.5876,-0.16354,2.11167,-0.28483
0.5876,-0.16621,2.12977,-0.28323
0.5895,-0.16514,2.14469,-0.28270
0.5913,-0.16514,2.14096,-0.28110
0.5922,-0.15822,2.13989,-0.28590
0.5950,-0.15555,2.12551,-0.27951
0.5973,-0.14597,2.12445,-0.28590
0.6062,-0.13372,2.09782,-0.28537
0.6073,-0.11827,2.08184,-0.28164
0.6073,-0.09803,2.06639,-0.27951
0.6096,-0.07939,2.05627,-0.27365
0.6120,-0.05329,2.03550,-0.28377
0.6134,-0.02612,2.02059,-0.27631
0.6152,-0.01068,2.00354,-0.28057
0.6175,0.01649,1.98064,-0.27365
0.6255,0.03140,1.95667,-0.27152
0.6277,0.03513,1.93004,-0.28004
0.6277,0.03300,1.89488,-0.27365
0.6297,0.03140,1.83629,-0.26885
0.6313,0.02501,1.74841,-0.26513
0.6331,0.01382,1.64614,-0.25501
