time,X_value,Y_value,Z_value
Started:,Apr 30 2020,13:45:25:617, 
0.0089,0.07645,-0.09728,-0.56019
0.0089,0.07246,-0.17685,-0.64098
0.0089,0.02193,-0.05552,-0.65745
0.0089,0.09577,0.07247,-0.70884
0.0234,-0.03460,-0.21580,-0.59120
0.0234,-0.53462,-0.55606,-0.35655
0.0234,-0.30480,0.38006,-0.67934
0.0234,-0.34240,0.26560,-1.02932
0.0431,-0.59936,0.25000,-0.72385
0.0431,-0.85498,0.34412,-0.56040
0.0431,-0.70127,0.20524,-0.58574
0.0431,-0.57343,0.44652,-0.85891
0.0666,-0.22569,0.51550,-0.99926
0.0666,-0.21894,0.37965,-1.13343
0.0666,-0.71100,0.19505,-0.97867
0.0666,-0.82628,0.22358,-0.77490
0.0854,-0.35717,0.04967,-0.94660
0.0854,-0.06463,-0.05451,-1.15895
0.0854,-0.11385,-0.00041,-1.32803
0.0854,-0.26388,0.03980,-1.37041
0.1031,-0.41261,0.28919,-1.47189
0.1031,-0.51013,0.34691,-1.48300
0.1031,-0.25565,0.21279,-1.25437
0.1031,-0.61141,0.27403,-1.03176
0.1275,-0.55720,0.28640,-0.84894
0.1275,-0.44975,0.11707,-0.79586
0.1275,-0.55232,0.14038,-0.74228
0.1275,-0.61473,0.07445,-0.73288
0.1424,-0.71809,0.07624,-0.60129
0.1424,-0.77120,0.07004,-0.60864
0.1424,-0.70026,-0.00434,-0.51934
0.1424,-0.77189,-0.08828,-0.56543
0.1644,-0.91539,0.14877,-0.63427
0.1644,-0.77267,0.29572,-0.92206
0.1644,-0.78250,0.27866,-1.03439
0.1644,-0.80865,0.35767,-1.01493
0.1885,-0.80885,0.09723,-0.98767
0.1885,-0.66335,0.01249,-0.83085
0.1885,-0.42174,0.02573,-0.87159
0.1885,0.02578,0.07591,-1.08046
0.2051,0.10228,0.07061,-1.17058
0.2051,-0.30537,0.21848,-1.01913
0.2051,-0.49599,0.27428,-0.87861
0.2051,-0.72672,0.32557,-0.79496
0.2267,-0.86107,0.45490,-0.76669
0.2267,-0.90868,0.37721,-0.65575
0.2267,-0.89260,0.35451,-0.67587
0.2267,-0.92652,0.40794,-0.75105
0.2421,-0.89272,0.37625,-0.87263
0.2421,-0.87854,0.49098,-1.05975
0.2421,-0.81374,0.67828,-1.20068
0.2421,-0.82178,0.82985,-1.22433
0.2635,-0.87619,0.83005,-1.19308
0.2635,-0.86286,0.83511,-1.08003
0.2635,-0.82484,0.85125,-1.02206
0.2635,-0.87321,0.81995,-0.97226
0.2870,-0.91505,0.82440,-0.93893
0.2870,-0.85703,0.78481,-0.75337
0.2870,-0.76047,0.82469,-0.73207
0.2870,-0.83683,0.70109,-0.60170
0.3038,-1.09854,0.78265,-0.44304
0.3038,-1.18332,0.74469,-0.35047
0.3038,-1.14652,0.54049,-0.20089
0.3038,-1.14340,0.34313,-0.17534
0.3282,-1.13855,0.19032,-0.04729
0.3282,-1.03203,0.15676,-0.09547
0.3282,-0.80509,0.05436,-0.22336
0.3283,-0.66061,-0.05628,-0.32008
0.3417,-0.45990,-0.23384,-0.40051
0.3417,-0.28755,-0.30508,-0.50571
0.3417,-0.15558,-0.40151,-0.71791
0.3417,-0.01506,-0.28379,-0.97333
0.3631,-0.02686,-0.23807,-0.99526
0.3631,-0.01911,-0.22549,-0.94454
0.3631,-0.10320,-0.14583,-0.86417
0.3631,-0.19970,-0.09680,-0.70890
0.3872,-0.40723,0.03205,-0.44402
0.3872,-0.65917,0.14065,-0.36048
0.3872,-0.87469,0.23785,-0.24260
0.3872,-0.99091,0.31810,-0.15591
0.4027,-1.07741,0.32549,-0.04046
0.4027,-1.02857,0.34394,-0.11900
0.4027,-1.09690,0.33163,-0.16815
0.4027,-1.03705,0.31569,-0.16360
0.4277,-0.92374,0.25975,-0.28100
0.4277,-0.75260,0.16944,-0.32406
0.4277,-0.44603,0.02222,-0.39907
0.4278,-0.24490,-0.02848,-0.48368
0.4421,0.11482,-0.23680,-0.49458
0.4421,0.30305,-0.36769,-0.62168
0.4421,0.38591,-0.43842,-0.81218
0.4421,0.54224,-0.58180,-0.91564
0.4632,0.71308,-0.63450,-0.98327
0.4632,0.69036,-0.66329,-0.94183
0.4632,0.85068,-0.61143,-0.86868
0.4632,0.86916,-0.67752,-0.78944
0.4810,0.74533,-0.58630,-0.64750
0.4810,0.62939,-0.57479,-0.44909
0.4810,0.46370,-0.55520,-0.42973
0.4810,0.45582,-0.56643,-0.56570
0.5007,0.30248,-0.49833,-0.58184
0.5007,0.34109,-0.47060,-0.75476
0.5007,0.32980,-0.49145,-0.78738
0.5007,0.59117,-0.30316,-0.62399
0.5205,0.64513,-0.01029,-0.71856
0.5205,0.79727,0.28465,-0.73874
0.5205,0.71660,0.41955,-0.52640
0.5205,0.34001,0.43377,-0.35918
0.5404,0.05079,0.56589,-0.01192
0.5405,-0.23910,0.62198,0.13630
0.5405,-0.36606,0.57593,0.18561
0.5405,-0.48048,0.50696,0.27945
0.5606,-0.64208,0.46205,0.22242
0.5606,-0.76140,0.39139,0.16930
0.5606,-0.77930,0.35452,0.02523
0.5606,-0.78303,0.28219,-0.00527
0.5803,-0.79492,0.25506,-0.07213
0.5803,-0.58941,0.12128,-0.05463
0.5803,-0.48683,-0.07683,-0.04083
0.5803,-0.39594,-0.28539,0.12260
0.6004,-0.30175,-0.40653,0.32707
0.6004,-0.08120,-0.39140,0.27593
0.6004,0.08103,-0.41506,0.31967
0.6004,0.10710,-0.39421,0.30509
0.6200,0.03815,-0.53764,0.32675
0.6200,0.00594,-0.42981,0.35343
0.6200,0.01549,-0.43426,0.32342
0.6200,-0.01840,-0.43896,0.20300
0.6397,0.04459,-0.50402,0.21719
0.6397,0.07457,-0.52954,0.20174
0.6397,0.21531,-0.57432,0.14270
0.6399,0.37597,-0.54463,0.05139
0.6600,0.56577,-0.53633,-0.16469
0.6600,0.84380,-0.51007,-0.29391
0.6600,0.97912,-0.50563,-0.49316
0.6600,1.16908,-0.54855,-0.49140
0.6798,1.18451,-0.59836,-0.47023
0.6798,1.19090,-0.54191,-0.44670
0.6798,1.10061,-0.52112,-0.52071
0.6798,1.13185,-0.34908,-0.53338
0.7001,1.22475,-0.42898,-0.55951
0.7001,1.31973,-0.49502,-0.48326
0.7001,1.31341,-0.50586,-0.57806
0.7001,1.37690,-0.51870,-0.52314
0.7200,1.39868,-0.54639,-0.58652
0.7200,1.24244,-0.47779,-0.56418
0.7200,1.13309,-0.45866,-0.64056
0.7200,0.92472,-0.41993,-0.58898
0.7394,0.70622,-0.48741,-0.74042
0.7394,0.60394,-0.45997,-0.45464
0.7394,0.12131,-0.26598,-0.30411
0.7394,-0.34535,-0.00564,-0.28242
0.7597,-0.81432,0.30432,-0.12662
0.7597,-1.24638,0.56772,0.01190
0.7597,-1.73274,0.89180,-0.03889
0.7597,-1.78092,1.02686,0.24683
0.7795,-1.92252,1.04280,0.52720
0.7795,-1.81553,1.01346,0.73428
0.7795,-1.71655,0.85726,0.96595
0.7795,-1.49159,0.51941,0.94850
0.7992,-1.33428,0.39456,1.01357
0.7992,-1.16119,0.34400,0.84563
0.7992,-0.82427,0.33934,0.78378
0.7992,-0.62458,0.46052,0.71025
0.8193,-0.55187,0.71169,0.72890
0.8193,-0.10540,0.68438,0.60601
0.8193,-0.03142,0.74600,0.39498
0.8193,-0.14280,0.90060,0.32538
0.8405,-0.30729,0.98790,0.21151
0.8405,-0.62217,1.31082,0.15975
0.8406,-0.66989,1.41606,0.22172
0.8406,-0.76218,1.49191,0.52776
0.8590,-1.13961,1.53181,1.39562
0.8590,-1.70477,1.52561,2.05775
0.8590,-2.57251,1.59056,2.05304
0.8590,-3.20624,1.66068,1.16049
0.8786,-3.08854,1.57501,-0.33604
0.8786,-2.58354,1.31980,-1.60925
0.8786,-1.33444,1.16066,-2.09696
0.8786,0.01629,0.72739,-1.80225
0.8986,1.24769,0.38341,-1.03227
0.8986,1.99020,0.14837,-0.41075
0.8986,2.47798,0.06282,0.02624
0.8986,2.80424,0.04321,0.15472
0.9187,2.90337,0.12969,0.19415
0.9187,2.90501,0.17913,-0.02527
0.9187,2.84027,0.23727,-0.16074
0.9187,2.97427,0.29545,-0.40540
0.9387,2.99564,0.35840,-0.63672
0.9387,2.99482,0.30671,-0.62967
0.9387,3.08646,0.28505,-0.71810
0.9387,3.09723,0.24899,-0.73771
0.9590,3.17609,0.11724,-0.59043
0.9590,3.20991,0.10313,-0.39073
0.9590,3.23192,-0.04336,-0.23723
0.9590,3.21165,-0.16341,-0.01606
0.9786,3.25509,-0.29940,-0.02479
0.9786,3.19300,-0.32317,-0.00766
0.9786,3.12978,-0.28838,-0.14883
