time,X_value,Y_value,Z_value
Started:,Apr 15 2020,10:10:34:354, 
0.0040,0.01032,0.17298,-0.09750
0.0040,0.01299,0.12930,-0.07567
0.0045,0.00766,0.10800,-0.06342
0.0068,0.00180,0.08403,-0.05649
0.0097,-0.00725,0.06112,-0.03678
0.0207,-0.00725,0.04142,-0.02187
0.0207,-0.00086,0.03343,0.00316
0.0207,-0.00033,0.03609,0.01382
0.0220,0.01086,0.04408,0.02127
0.0220,0.02417,0.06006,0.03725
0.0252,0.02471,0.08882,0.03938
0.0278,0.02471,0.13303,0.04737
0.0318,0.02524,0.17404,0.04364
0.0385,0.02204,0.23103,0.03778
0.0398,0.02311,0.27950,0.02926
0.0398,0.00819,0.32052,0.01968
0.0414,0.00020,0.34768,0.02074
0.0426,-0.01151,0.37538,0.01275
0.0446,-0.02962,0.37271,0.00902
0.0471,-0.04667,0.36739,0.00263
0.0500,-0.07277,0.35514,0.01009
0.0582,-0.09673,0.32531,0.00902
0.0599,-0.10313,0.28802,0.01648
0.0599,-0.10952,0.24488,0.02553
0.0618,-0.11005,0.20866,0.03672
0.0641,-0.10632,0.16605,0.03992
0.0654,-0.10419,0.13889,0.04577
0.0668,-0.10046,0.10693,0.05270
0.0692,-0.09301,0.08509,0.04631
0.0780,-0.09247,0.05793,0.04790
0.0796,-0.07596,0.03502,0.03512
0.0796,-0.07277,0.01159,0.03193
0.0809,-0.07064,-0.01558,0.01754
0.0822,-0.06211,-0.05126,0.01062
0.0841,-0.06158,-0.07310,0.00849
0.0870,-0.05412,-0.10825,0.00157
0.0891,-0.04560,-0.12317,0.00157
0.0981,-0.03601,-0.14341,-0.00962
0.0994,-0.02643,-0.15140,-0.00589
0.0994,-0.03069,-0.15832,-0.02240
0.1010,-0.02217,-0.16844,-0.02773
0.1030,-0.01471,-0.16684,-0.03412
0.1051,-0.00725,-0.15459,-0.04424
0.1068,-0.00033,-0.13595,-0.04424
0.1096,0.00180,-0.10772,-0.05543
0.1188,-0.00246,-0.07789,-0.06395
0.1195,0.00393,-0.03954,-0.06608
0.1195,0.00713,-0.00279,-0.07833
0.1210,0.00660,0.03076,-0.08152
0.1222,0.00393,0.06166,-0.08419
0.1239,0.00500,0.09894,-0.09271
0.1267,0.00660,0.13676,-0.09271
0.1297,0.01192,0.16925,-0.10283
0.1375,0.01086,0.19908,-0.10975
0.1392,0.01139,0.23103,-0.11508
0.1392,0.00660,0.26033,-0.11828
0.1418,0.01778,0.29069,-0.12147
0.1434,0.01725,0.31306,-0.11828
0.1448,0.01725,0.33490,-0.12200
0.1465,0.02151,0.35034,-0.11348
0.1527,0.01618,0.37591,-0.11721
0.1577,0.01991,0.39508,-0.11242
0.1604,0.02417,0.41745,-0.10602
0.1604,0.03269,0.44674,-0.10123
0.1632,0.04015,0.46752,-0.09164
0.1632,0.04548,0.50214,-0.08685
0.1674,0.05507,0.53303,-0.08898
0.1674,0.06838,0.56499,-0.09910
0.1688,0.07264,0.60387,-0.10975
0.1774,0.08329,0.62784,-0.10922
0.1789,0.08649,0.65980,-0.12733
0.1789,0.08329,0.68803,-0.13958
0.1816,0.09128,0.72318,-0.15822
0.1817,0.08116,0.75248,-0.17313
0.1837,0.07371,0.77751,-0.18166
0.1865,0.06252,0.80361,-0.18805
0.1887,0.05507,0.83130,-0.18698
0.1974,0.04974,0.85527,-0.19710
0.1987,0.03269,0.88989,-0.19870
0.1987,0.04335,0.92824,-0.19923
0.2022,0.03962,0.96713,-0.20190
0.2022,0.03642,1.01400,-0.19923
0.2048,0.04122,1.06407,-0.18592
0.2073,0.04601,1.12532,-0.18112
0.2094,0.04921,1.19563,-0.16941
0.2173,0.04654,1.27392,-0.15769
0.2189,0.04867,1.36234,-0.15449
0.2189,0.04708,1.45076,-0.14597
0.2224,0.04708,1.54343,-0.14224
0.2242,0.05666,1.64570,-0.14011
0.2255,0.05453,1.74477,-0.14171
0.2272,0.06359,1.84277,-0.15343
0.2298,0.05986,1.95622,-0.15822
