time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:13:04:088, 
0.0087,-0.09403,-0.06629,0.00754
0.0110,-0.04556,-0.10410,0.04482
0.0110,-0.02213,-0.14032,0.07838
0.0126,0.01037,-0.16962,0.09329
0.0137,0.03433,-0.19145,0.09969
0.0148,0.05191,-0.20743,0.10981
0.0171,0.07215,-0.21595,0.11513
0.0205,0.08866,-0.22714,0.11993
0.0286,0.10038,-0.22235,0.13644
0.0298,0.09825,-0.21276,0.13963
0.0315,0.09772,-0.20157,0.13697
0.0315,0.08920,-0.17707,0.13804
0.0327,0.08121,-0.15843,0.13377
0.0344,0.07428,-0.14405,0.12898
0.0369,0.05511,-0.12487,0.12046
0.0396,0.04339,-0.11049,0.11673
0.0475,0.03061,-0.08759,0.10981
0.0493,0.03220,-0.07427,0.10128
0.0520,0.02528,-0.05830,0.09223
0.0520,0.02368,-0.05617,0.08211
0.0534,0.02741,-0.04232,0.08051
0.0545,0.02634,-0.03539,0.06506
0.0566,0.03220,-0.01675,0.05441
0.0591,0.03646,-0.01036,0.04536
0.0681,0.04499,-0.00770,0.03257
0.0709,0.04712,-0.00024,0.02458
0.0723,0.05777,0.00402,0.02032
0.0723,0.06203,0.00722,0.01393
0.0747,0.06842,0.01521,-0.00098
0.0747,0.07748,0.01254,-0.01430
0.0768,0.07854,0.01840,-0.02016
0.0791,0.08067,0.02160,-0.02868
0.0883,0.09079,0.02320,-0.04146
0.0908,0.09825,0.01574,-0.04785
0.0923,0.10784,0.00615,-0.05851
0.0924,0.11050,0.00562,-0.07608
0.0941,0.10624,-0.01675,-0.07715
0.0966,0.11316,-0.02794,-0.08780
0.0979,0.10091,-0.04445,-0.08887
0.0994,0.09452,-0.06043,-0.08620
0.1087,0.08920,-0.07641,-0.08887
0.1111,0.08014,-0.08653,-0.07875
0.1136,0.08121,-0.10250,-0.08780
0.1136,0.07055,-0.11582,-0.08354
0.1147,0.06256,-0.12168,-0.07342
0.1162,0.05085,-0.13127,-0.06223
0.1175,0.04712,-0.13446,-0.05211
0.1218,0.04019,-0.14405,-0.03294
0.1282,0.03220,-0.14725,-0.02335
0.1309,0.01995,-0.14778,-0.01430
0.1320,0.00504,-0.14831,-0.00950
0.1320,0.00877,-0.14671,0.00328
0.1336,-0.00721,-0.13499,0.00861
0.1347,-0.00348,-0.13233,0.01233
0.1364,-0.01254,-0.12594,0.01340
0.1387,-0.01414,-0.12061,0.01766
0.1475,-0.01893,-0.12221,0.01873
0.1500,-0.02053,-0.11955,0.01340
0.1515,-0.02106,-0.11529,0.00914
0.1515,-0.01680,-0.11475,0.01287
0.1531,-0.01414,-0.11156,0.01340
0.1544,-0.01680,-0.11262,0.00381
0.1559,-0.02639,-0.11582,0.00381
