time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:08:27:637, 
0.0062,-0.03436,0.14196,-0.01479
0.0075,-0.07643,0.10148,-0.03876
0.0157,-0.11106,0.04662,-0.05101
0.0176,-0.13236,-0.01677,-0.03929
0.0176,-0.13822,-0.06683,-0.00520
0.0176,-0.11958,-0.08974,0.01504
0.0223,-0.08709,-0.10412,0.03687
0.0223,-0.05779,-0.11850,0.03954
0.0225,-0.02850,-0.13767,0.04380
0.0249,-0.01678,-0.14886,0.05498
0.0389,-0.01092,-0.16697,0.06670
0.0404,-0.00826,-0.17283,0.08588
0.0404,-0.02264,-0.18241,0.10186
0.0424,-0.02424,-0.18082,0.10026
0.0424,-0.02104,-0.17442,0.10825
0.0424,-0.02104,-0.16590,0.10186
0.0449,-0.02317,-0.15259,0.09919
0.0475,-0.02903,-0.12862,0.10026
0.0550,-0.03010,-0.11797,0.10345
0.0568,-0.03915,-0.12542,0.10878
0.0568,-0.04927,-0.13608,0.11144
0.0583,-0.05726,-0.14087,0.12369
0.0583,-0.06578,-0.14620,0.12955
0.0597,-0.07164,-0.14939,0.13488
0.0675,-0.06578,-0.15951,0.13222
0.0692,-0.05833,-0.14620,0.13541
0.0775,-0.06099,-0.13661,0.14127
0.0777,-0.05460,-0.12223,0.13115
0.0794,-0.04501,-0.10785,0.12263
0.0794,-0.03329,-0.08761,0.10718
0.0821,-0.02424,-0.06417,0.08907
0.0821,-0.00986,-0.03434,0.08428
0.0832,0.00293,-0.01996,0.07522
0.0848,0.01731,0.00880,0.06084
0.0930,0.02263,0.02425,0.05126
0.1004,0.03702,0.04555,0.03847
0.1004,0.04927,0.05887,0.02409
0.1023,0.04660,0.07591,0.01770
0.1023,0.05832,0.09349,0.01078
0.1023,0.06578,0.10041,0.00012
0.1040,0.07590,0.11053,-0.01106
0.1054,0.07856,0.12705,-0.02118
0.1139,0.08122,0.13717,-0.02171
0.1157,0.08282,0.14409,-0.03290
0.1157,0.08975,0.14515,-0.03769
0.1172,0.09188,0.14675,-0.04036
0.1188,0.09561,0.13397,-0.03503
0.1201,0.08975,0.13450,-0.04622
0.1219,0.07750,0.12332,-0.03823
0.1245,0.07963,0.11426,-0.03663
0.1379,0.06045,0.10041,-0.03290
0.1399,0.05672,0.09136,-0.02811
0.1399,0.04234,0.07858,-0.02385
