time,X_value,Y_value,Z_value
Started:,Apr 23 2020,10:01:14:297, 
0.0090,-0.06411,0.32795,-0.00335
0.0129,-0.00233,0.24646,0.01742
0.0129,0.05520,0.17349,0.03766
0.0129,0.10953,0.11011,0.07068
0.0134,0.13243,0.05258,0.08666
0.0145,0.13989,0.00305,0.09998
0.0171,0.13350,-0.02944,0.11116
0.0303,0.12444,-0.05075,0.12980
0.0329,0.10527,-0.05075,0.14685
0.0329,0.09515,-0.04063,0.14578
0.0329,0.08183,-0.03743,0.15271
0.0329,0.07544,-0.02145,0.14898
0.0342,0.05839,-0.02145,0.13726
0.0368,0.03762,0.00038,0.11862
0.0380,0.02058,0.00251,0.10743
0.0459,-0.00233,0.00891,0.10157
0.0475,-0.03056,0.00518,0.08560
0.0476,-0.05506,0.00092,0.08187
0.0491,-0.07423,-0.00601,0.06695
0.0515,-0.09021,-0.01293,0.06908
0.0528,-0.10299,-0.01347,0.06536
0.0606,-0.10938,-0.01773,0.05843
0.0622,-0.10725,-0.01773,0.05257
0.0705,-0.11045,-0.01506,0.04405
0.0705,-0.10353,-0.01293,0.03926
0.0723,-0.10086,-0.00814,0.03340
0.0723,-0.09554,-0.00814,0.02701
0.0723,-0.08755,-0.00228,0.01529
0.0740,-0.07636,0.00038,-0.00229
0.0767,-0.07157,-0.00548,-0.00868
0.0779,-0.05559,-0.00281,-0.01880
0.0857,-0.04866,-0.00281,-0.02359
0.0927,-0.03801,-0.00814,-0.03531
0.0927,-0.03109,-0.01187,-0.03371
0.0942,-0.02470,-0.01293,-0.04117
0.0984,-0.02842,-0.02412,-0.04596
0.0984,-0.02576,-0.02731,-0.05182
0.0984,-0.03109,-0.03157,-0.05662
0.0991,-0.02363,-0.03264,-0.05129
0.1069,-0.03482,-0.04755,-0.04703
0.1091,-0.03269,-0.04809,-0.03478
0.1091,-0.02576,-0.05767,-0.02732
0.1091,-0.02310,-0.06247,-0.02200
0.1149,-0.01404,-0.06353,-0.01560
0.1149,-0.01085,-0.06193,-0.00548
0.1149,-0.00818,-0.06779,0.00783
0.1165,-0.00179,-0.07525,0.00570
0.1306,-0.00339,-0.07685,0.01209
0.1329,0.00300,-0.07578,0.01476
0.1329,0.01525,-0.08271,0.01635
0.1329,0.00407,-0.07791,0.02328
0.1329,0.00992,-0.07791,0.02647
0.1346,0.00353,-0.07578,0.02115
0.1360,0.00140,-0.07898,0.03287
0.1373,-0.01245,-0.08004,0.02328
0.1460,-0.01245,-0.08697,0.02115
0.1475,-0.01032,-0.08324,0.01476
0.1475,-0.01351,-0.08324,0.01795
0.1491,-0.01724,-0.06992,0.02594
0.1509,-0.02310,-0.06726,0.03233
0.1518,-0.01564,-0.06407,0.02275
0.1590,-0.02097,-0.05608,0.02061
0.1609,-0.02363,-0.04169,0.01955
0.1692,-0.03428,-0.03371,0.01795
0.1692,-0.03162,-0.02145,0.01422
0.1720,-0.02789,-0.00974,0.00730
0.1720,-0.03269,0.00145,-0.00335
0.1720,-0.02896,0.00677,-0.01028
0.1736,-0.02203,0.02009,-0.02093
0.1751,-0.02363,0.02382,-0.02732
0.1765,-0.02257,0.02861,-0.02786
0.1848,-0.02044,0.03927,-0.03212
0.1924,-0.02416,0.05524,-0.03584
0.1924,-0.01617,0.07122,-0.03744
0.1942,-0.02736,0.07016,-0.04277
0.1942,-0.02470,0.07176,-0.04810
0.1942,-0.02310,0.08507,-0.04703
0.1958,-0.02310,0.08241,-0.04863
0.1974,-0.01884,0.08614,-0.04756
0.2058,-0.02044,0.08933,-0.04543
0.2073,-0.01138,0.08560,-0.04969
0.2073,-0.01191,0.07815,-0.04756
0.2090,-0.01245,0.07016,-0.04490
0.2107,-0.00286,0.05258,-0.03957
0.2133,0.00513,0.04353,-0.02306
0.2146,0.00300,0.02861,-0.02413
0.2166,0.00460,0.00891,-0.01773
0.2326,-0.00392,-0.00654,-0.02200
0.2344,0.00353,-0.02252,-0.01720
0.2344,-0.00552,-0.03264,-0.00868
0.2344,-0.00659,-0.04116,0.00144
0.2344,-0.00392,-0.05022,0.00304
0.2344,-0.00339,-0.05821,0.00464
0.2359,-0.01245,-0.04383,0.00197
0.2377,-0.01351,-0.06779,-0.00282
0.2469,-0.01511,-0.08217,-0.00282
0.2480,-0.01351,-0.07685,-0.00229
0.2481,-0.00765,-0.07578,-0.00122
0.2508,-0.00659,-0.07951,-0.00602
0.2511,-0.00765,-0.07472,-0.00708
0.2526,-0.00552,-0.07419,-0.01560
0.2538,-0.01191,-0.07312,-0.01188
0.2633,-0.00446,-0.06992,-0.01614
0.2715,0.00087,-0.06833,-0.00815
0.2715,0.00300,-0.07791,-0.01560
0.2715,0.00034,-0.07259,-0.01720
0.2736,-0.00392,-0.07365,-0.02892
0.2736,-0.00499,-0.08324,-0.03425
0.2736,-0.01085,-0.09443,-0.03478
0.2752,-0.00765,-0.09336,-0.03638
0.2779,-0.00712,-0.09762,-0.03584
0.2855,-0.00712,-0.08803,-0.03691
0.2871,-0.00552,-0.09016,-0.03904
0.2871,-0.00712,-0.08111,-0.04117
0.2886,-0.00872,-0.08697,-0.03904
0.2904,-0.00925,-0.07685,-0.03105
0.2930,-0.00499,-0.09496,-0.02786
0.2943,-0.00446,-0.10455,-0.02572
0.2957,-0.00605,-0.10295,-0.02519
0.3046,-0.01458,-0.10987,-0.03265
0.3060,-0.02203,-0.10721,-0.03531
0.3060,-0.02736,-0.11253,-0.03798
0.3077,-0.02683,-0.11680,-0.03584
0.3089,-0.03322,-0.12958,-0.03478
0.3105,-0.04068,-0.15088,-0.02839
0.3132,-0.03961,-0.17166,-0.03744
0.3152,-0.04973,-0.18391,-0.04330
0.3240,-0.04813,-0.19403,-0.03904
0.3254,-0.04121,-0.20148,-0.04224
0.3254,-0.04227,-0.22652,-0.04330
0.3280,-0.04014,-0.24463,-0.04170
0.3294,-0.03908,-0.26061,-0.04756
0.3308,-0.03801,-0.27126,-0.05182
0.3328,-0.03961,-0.29150,-0.05289
0.3363,-0.03854,-0.30801,-0.05289
0.3440,-0.03748,-0.32133,-0.05289
0.3459,-0.03588,-0.33837,-0.04969
0.3459,-0.03428,-0.34530,-0.04916
0.3474,-0.03748,-0.35648,-0.05076
0.3498,-0.03428,-0.37459,-0.05449
0.3503,-0.03854,-0.38364,-0.05715
0.3524,-0.04121,-0.40495,-0.05662
0.3550,-0.03215,-0.41507,-0.05289
0.3671,-0.02363,-0.42998,-0.05555
0.3672,-0.02789,-0.43691,-0.05129
0.3672,-0.02203,-0.44863,-0.04863
0.3690,-0.01830,-0.45981,-0.04863
0.3706,-0.01351,-0.46141,-0.04117
0.3720,-0.00073,-0.45395,-0.03371
0.3738,-0.00552,-0.45076,-0.03371
0.3752,0.00353,-0.44863,-0.02519
0.3840,0.00353,-0.44330,-0.02306
0.3856,0.01259,-0.43904,-0.01880
0.3856,0.00992,-0.43638,-0.02040
0.3872,0.00779,-0.44330,-0.01507
0.3884,0.00992,-0.44330,-0.01188
0.3901,0.00140,-0.43584,-0.00176
0.3923,0.00140,-0.44010,0.00464
0.3948,0.00513,-0.42785,0.01263
0.4043,-0.00126,-0.42040,0.02061
0.4056,0.00194,-0.40442,0.02807
0.4056,-0.00233,-0.38791,0.03926
0.4081,-0.00286,-0.37352,0.04884
0.4098,-0.00126,-0.35382,0.05950
0.4112,0.00140,-0.33677,0.06749
0.4146,0.00087,-0.31280,0.06908
0.4160,-0.00073,-0.29363,0.07175
0.4251,0.00087,-0.27818,0.07388
0.4251,-0.01777,-0.27392,0.06482
0.4251,-0.02310,-0.25368,0.06642
0.4260,-0.02576,-0.24356,0.06376
0.4273,-0.02629,-0.23983,0.05683
0.4299,-0.03588,-0.23184,0.05364
0.4321,-0.04494,-0.22758,0.04192
0.4347,-0.06624,-0.22812,0.03180
0.4434,-0.06731,-0.22599,0.02594
0.4450,-0.06624,-0.22652,0.03073
0.4451,-0.07476,-0.23078,0.02594
0.4468,-0.08755,-0.22599,0.01795
0.4480,-0.09021,-0.21853,0.01742
0.4499,-0.09607,-0.22545,0.00836
0.4520,-0.10193,-0.21107,0.01316
0.4546,-0.10619,-0.20095,0.00677
0.4636,-0.10832,-0.19350,0.00677
0.4656,-0.11631,-0.19030,0.00783
0.4656,-0.11524,-0.18071,0.00783
0.4673,-0.12164,-0.17752,0.00091
0.4690,-0.11418,-0.18444,0.00197
0.4701,-0.12377,-0.19722,-0.00229
0.4726,-0.12270,-0.20042,0.01103
0.4761,-0.12323,-0.21214,0.00197
0.4835,-0.12803,-0.23291,0.00996
0.4849,-0.12483,-0.24356,0.00730
0.4849,-0.12004,-0.26220,0.00730
0.4862,-0.12323,-0.28138,0.00943
0.4876,-0.12057,-0.30588,0.01902
0.4897,-0.11045,-0.32399,0.02115
0.4922,-0.11471,-0.35808,0.02647
0.4945,-0.10086,-0.38311,0.02914
0.5033,-0.10193,-0.41827,0.02914
0.5050,-0.08914,-0.44170,0.03127
0.5050,-0.09554,-0.46088,0.02967
0.5064,-0.08808,-0.46460,0.03446
0.5076,-0.08275,-0.45715,0.04778
0.5094,-0.07583,-0.45342,0.05311
0.5118,-0.07636,-0.45022,0.05257
0.5145,-0.06624,-0.43638,0.05417
0.5227,-0.05719,-0.43158,0.04725
0.5246,-0.05665,-0.42253,0.04831
0.5246,-0.04813,-0.40655,0.04352
0.5268,-0.04866,-0.40761,0.05524
0.5268,-0.04227,-0.39217,0.04725
0.5291,-0.04547,-0.38205,0.03713
0.5343,-0.05080,-0.37512,0.03659
0.5356,-0.06305,-0.36021,0.03393
0.5429,-0.07263,-0.34849,0.02914
0.5445,-0.08435,-0.34583,0.02008
0.5445,-0.09554,-0.33145,0.01263
0.5496,-0.11045,-0.32612,0.00197
0.5496,-0.11524,-0.31920,-0.00815
0.5523,-0.12590,-0.31973,-0.02466
0.5542,-0.13229,-0.31067,-0.03531
0.5554,-0.12536,-0.33304,-0.05555
0.5635,-0.12590,-0.33464,-0.06620
0.5654,-0.12962,-0.34423,-0.07899
0.5654,-0.11950,-0.36394,-0.08591
0.5678,-0.11791,-0.36074,-0.08485
0.5694,-0.11578,-0.37193,-0.08165
0.5714,-0.11471,-0.37139,-0.07419
0.5726,-0.10992,-0.37193,-0.06940
0.5746,-0.11631,-0.37832,-0.06035
0.5827,-0.11152,-0.37193,-0.04117
0.5847,-0.11311,-0.36660,-0.03691
0.5847,-0.10885,-0.37193,-0.02892
0.5860,-0.10246,-0.37139,-0.02093
0.5874,-0.09980,-0.36447,-0.00868
0.5908,-0.09820,-0.36340,-0.00708
0.5920,-0.08648,-0.36074,-0.00815
0.5950,-0.08116,-0.35755,-0.01028
0.6025,-0.07370,-0.35328,-0.01933
0.6043,-0.07263,-0.35488,-0.02200
0.6043,-0.06890,-0.36127,-0.03584
0.6067,-0.07210,-0.39217,-0.06834
0.6079,-0.06997,-0.41241,-0.10668
0.6092,-0.07210,-0.41933,-0.12053
0.6121,-0.06997,-0.45022,-0.10775
0.6145,-0.07423,-0.45875,-0.09550
0.6235,-0.07689,-0.46088,-0.08325
0.6245,-0.07956,-0.45502,-0.06834
0.6245,-0.07636,-0.45821,-0.05662
0.6261,-0.07263,-0.45182,-0.04490
0.6274,-0.07849,-0.45022,-0.04117
0.6297,-0.08062,-0.46034,-0.03212
0.6308,-0.07902,-0.45076,-0.02786
0.6335,-0.08116,-0.43957,-0.02466
0.6426,-0.06997,-0.44064,-0.02040
0.6440,-0.06944,-0.43957,-0.02040
0.6440,-0.06890,-0.44277,-0.01773
0.6469,-0.06518,-0.43265,-0.01401
0.6484,-0.06092,-0.41986,-0.01347
0.6497,-0.06145,-0.42306,-0.02200
0.6521,-0.05932,-0.41720,-0.01773
0.6546,-0.05080,-0.41241,-0.01827
0.6632,-0.05932,-0.40175,-0.02146
0.6644,-0.06305,-0.39856,-0.01987
0.6644,-0.06518,-0.38151,-0.02040
0.6660,-0.06784,-0.37033,-0.01987
0.6685,-0.06571,-0.35595,-0.02359
0.6709,-0.06837,-0.34476,-0.02146
0.6722,-0.07263,-0.33358,-0.02572
0.6739,-0.07636,-0.31707,-0.02253
0.6831,-0.07689,-0.30535,-0.03212
0.6840,-0.07902,-0.29736,-0.03478
0.6840,-0.07956,-0.28031,-0.03158
0.6853,-0.07476,-0.26753,-0.04490
0.6867,-0.08329,-0.25528,-0.04383
0.6881,-0.08542,-0.24729,-0.04650
0.6908,-0.08062,-0.22705,-0.04543
0.6933,-0.08116,-0.21214,-0.04863
0.7016,-0.07317,-0.20521,-0.05023
0.7034,-0.08169,-0.19296,-0.05502
0.7035,-0.07796,-0.18764,-0.04756
0.7050,-0.07263,-0.17219,-0.05236
0.7063,-0.07849,-0.16846,-0.04703
0.7090,-0.07263,-0.16580,-0.04810
0.7114,-0.07583,-0.15515,-0.04756
0.7143,-0.07476,-0.14769,-0.05182
0.7223,-0.07902,-0.14183,-0.05608
0.7241,-0.06997,-0.13491,-0.05449
0.7241,-0.06784,-0.13491,-0.05449
0.7265,-0.07050,-0.12532,-0.05342
0.7275,-0.06518,-0.12692,-0.05342
0.7302,-0.06837,-0.11786,-0.05502
0.7349,-0.06198,-0.11573,-0.05236
0.7350,-0.05985,-0.11680,-0.05182
0.7418,-0.05985,-0.10614,-0.05662
0.7435,-0.05878,-0.11040,-0.06354
0.7435,-0.06198,-0.10668,-0.06407
0.7453,-0.05399,-0.10668,-0.05822
0.7466,-0.04813,-0.11040,-0.05768
0.7481,-0.05239,-0.10455,-0.05236
0.7504,-0.04653,-0.10401,-0.06301
0.7539,-0.05346,-0.10614,-0.05768
0.7619,-0.04760,-0.10881,-0.05608
0.7641,-0.04334,-0.10774,-0.05822
0.7641,-0.04866,-0.11307,-0.05076
0.7676,-0.04547,-0.11040,-0.04650
0.7688,-0.04281,-0.11360,-0.04916
0.7689,-0.04068,-0.11467,-0.05023
0.7712,-0.04281,-0.11733,-0.04969
0.7739,-0.04068,-0.11413,-0.05076
0.7818,-0.03961,-0.11893,-0.05023
0.7834,-0.03322,-0.11307,-0.05182
0.7834,-0.03162,-0.11839,-0.04703
0.7853,-0.02842,-0.12159,-0.04596
0.7864,-0.03162,-0.12159,-0.04011
0.7879,-0.02736,-0.12372,-0.04543
0.7903,-0.03109,-0.13277,-0.04117
0.7930,-0.02629,-0.13171,-0.04011
0.8015,-0.02789,-0.13224,-0.04117
0.8035,-0.02736,-0.14023,-0.04650
0.8035,-0.02150,-0.13650,-0.04277
0.8052,-0.02097,-0.13757,-0.03798
0.8067,-0.01830,-0.14130,-0.03584
0.8085,-0.01564,-0.14609,-0.02945
0.8106,-0.01617,-0.15088,-0.03425
0.8150,-0.01458,-0.14928,-0.03212
0.8256,-0.01138,-0.14342,-0.02839
0.8257,-0.01937,-0.14662,-0.03425
0.8257,-0.01937,-0.14715,-0.03425
0.8257,-0.01831,-0.15088,-0.03106
0.8257,-0.01032,-0.14555,-0.02413
0.8285,-0.00712,-0.15194,-0.02413
0.8316,-0.00925,-0.14928,-0.02360
0.8339,-0.01085,-0.14822,-0.02040
0.8418,-0.01671,-0.15354,-0.02147
0.8432,-0.00020,-0.14928,-0.01454
0.8432,-0.01617,-0.14981,-0.02360
0.8450,-0.01298,-0.14342,-0.02040
0.8463,-0.01191,-0.14342,-0.01614
0.8483,-0.00339,-0.14662,-0.01614
0.8507,-0.00073,-0.15301,-0.01241
0.8545,0.00247,-0.14875,-0.01241
0.8611,-0.00925,-0.15301,-0.01082
0.8630,-0.00392,-0.14928,-0.01082
0.8647,-0.00499,-0.15141,-0.00655
0.8647,-0.00499,-0.14662,-0.00815
0.8699,0.00247,-0.14822,-0.00283
0.8699,0.00300,-0.14502,-0.00602
0.8702,0.00460,-0.15408,-0.00709
0.8734,0.00992,-0.14981,-0.00283
0.8814,0.00620,-0.15780,-0.00389
0.8829,0.00833,-0.14928,-0.00709
0.8829,0.00566,-0.15088,0.00570
0.8845,0.01046,-0.15354,-0.00283
0.8860,0.01685,-0.15567,-0.00389
0.8882,0.01632,-0.15301,0.00783
0.8900,0.01898,-0.14928,-0.00016
0.8926,0.02004,-0.15354,-0.00283
0.9012,0.01525,-0.15301,-0.00123
0.9029,0.01578,-0.15567,-0.00176
0.9047,0.02217,-0.15301,-0.00283
0.9047,0.02058,-0.16047,0.00357
0.9067,0.02484,-0.15940,0.00836
0.9083,0.03070,-0.15461,0.00303
0.9106,0.02963,-0.15088,0.00250
0.9129,0.02857,-0.15514,-0.00336
0.9217,0.03229,-0.15727,0.00090
0.9233,0.03389,-0.14555,0.00623
0.9250,0.03656,-0.14981,0.00570
0.9250,0.03496,-0.15248,0.00889
0.9266,0.03869,-0.14289,0.01102
0.9283,0.03443,-0.14555,0.00889
0.9306,0.03762,-0.13969,0.00197
0.9336,0.04295,-0.13863,0.00996
0.9415,0.03975,-0.13650,0.00676
0.9415,0.03443,-0.13490,0.01475
0.9430,0.04028,-0.12904,0.00836
0.9470,0.04295,-0.12372,0.01209
0.9485,0.04401,-0.12585,0.00836
0.9498,0.04561,-0.11626,0.01901
0.9520,0.05147,-0.11093,0.02008
0.9625,0.04987,-0.10987,0.01901
0.9632,0.04827,-0.10614,0.01315
0.9653,0.04774,-0.09975,0.00836
0.9653,0.04721,-0.10081,0.01635
0.9669,0.04561,-0.09708,0.02168
0.9690,0.04987,-0.09549,0.01848
0.9706,0.04934,-0.08750,0.03020
0.9731,0.05360,-0.08750,0.02434
0.9803,0.05200,-0.08270,0.02008
0.9825,0.05520,-0.07791,0.03020
0.9872,0.04934,-0.06992,0.02594
0.9872,0.05573,-0.07578,0.02168
0.9872,0.06159,-0.06832,0.03446
0.9872,0.05786,-0.05714,0.02594
0.9897,0.06052,-0.06300,0.03446
0.9919,0.05680,-0.05714,0.03126
1.0009,0.06319,-0.05021,0.02966
1.0037,0.06266,-0.04702,0.03765
1.0053,0.06585,-0.04755,0.03552
1.0053,0.06692,-0.04382,0.03126
1.0069,0.06638,-0.04009,0.03393
1.0085,0.06745,-0.03849,0.03499
